location,latitude,longitude,confirmed,dead,recovered,updated
Dingolfing-Landau,48.6367249,12.5670747,175,2,None,2020-04-18 00:00:00+00:00
Uelzen,52.9658199,10.5580304,39,0,None,2020-04-18 00:00:00+00:00
Ouro Fino,-22.2783919,-46.3685898,1,1,None,2020-04-19 01:22:25.124689+00:00
Huzhou,30.89441,120.086809,10,0,10,2020-04-19 01:22:33.698233+00:00
"Grand Forks County, North Dakota",48.0037819,-97.3594525,99,0,0,2020-04-18 01:41:02.433592+00:00
"Tucker County, West Virginia",39.1083806,-79.6502105,4,0,None,2020-04-19 01:40:27.495960+00:00
Puy-de-Dôme,45.7124142,3.0155825,189,24,95,2020-04-19 01:41:44.262145+00:00
"St. Johns County, Florida",29.9719419,-81.4278984,188,4,0,2020-04-18 01:41:02.433592+00:00
Weiden i.d.OPf.,49.6743636,12.1489337,249,5,None,2020-04-18 00:00:00+00:00
"Del Norte County, California",41.7076287,-123.9659708,2,0,None,2020-04-19 01:40:27.495960+00:00
Mansfeld-Südharz,51.550941,11.4071811,34,1,None,2020-04-18 00:00:00+00:00
Jussara,-15.8746808,-50.8640483,1,1,None,2020-04-19 01:22:23.249037+00:00
Leidschendam-Voorburg,52.0877314,4.3993855,20,None,None,2020-04-19 01:41:39.650885+00:00
"Panola County, Texas",32.1920035,-94.315422,38,3,0,2020-04-18 01:41:02.433592+00:00
"Upshur County, West Virginia",38.8696797,-80.2321313,4,0,None,2020-04-19 01:40:27.495960+00:00
Berlin Mitte,52.5372897,13.3602743,790,6,None,2020-04-18 00:00:00+00:00
"Lafayette County, Florida",30.0299573,-83.2077645,1,0,None,2020-04-19 01:40:27.495960+00:00
Waldshut,47.6327253,8.2719155,274,25,None,2020-04-18 00:00:00+00:00
Saarlouis,49.3134606,6.7522865,446,14,None,2020-04-18 00:00:00+00:00
Saalekreis,51.3749001,11.8577809,103,4,None,2020-04-18 00:00:00+00:00
Osnabrück,52.2799112,8.0471788,1243,34,None,2020-04-18 00:00:00+00:00
Offenbach,50.0956362,8.7760843,464,19,None,2020-04-18 00:00:00+00:00
"Dixie County, Florida",29.5207227,-83.1649001,3,0,None,2020-04-19 01:40:27.495960+00:00
Harz,51.75,10.633333,207,2,None,2020-04-18 00:00:00+00:00
Main-Kinzig-Kreis,50.265277,9.3049355,487,16,None,2020-04-18 00:00:00+00:00
Mook en Middelaar,51.7512298,5.8816298,6,None,None,2020-04-19 01:41:39.963893+00:00
Helmond,51.4792547,5.6570096,90,None,None,2020-04-19 01:41:39.235627+00:00
Emmendingen,48.1170918,7.8539047,507,32,None,2020-04-18 00:00:00+00:00
Territoire de Belfort,47.5946573,6.9207716,617,130,306,2020-04-19 01:41:44.249834+00:00
Paris,48.856614,2.3522219,7100,1160,2927,2020-04-19 01:41:44.266068+00:00
Passau,48.5667364,13.4319466,493,27,None,2020-04-18 00:00:00+00:00
Saône-et-Loire,46.5827512,4.486671,634,116,316,2020-04-19 01:41:44.263648+00:00
Berlin Spandau,52.5351876,13.2002964,213,5,None,2020-04-18 00:00:00+00:00
Amberg-Sulzbach,49.4642643,11.7233784,375,20,None,2020-04-18 00:00:00+00:00
Neckar-Odenwald-Kreis,49.4440668,9.2454855,276,7,None,2020-04-18 00:00:00+00:00
Olpe,51.0282107,7.8502943,452,17,None,2020-04-18 00:00:00+00:00
Wolfenbüttel,52.1640413,10.5408484,139,2,None,2020-04-18 00:00:00+00:00
Heidekreis,53.0664983,9.8825223,61,1,None,2020-04-18 00:00:00+00:00
Jinan,36.6512,117.120095,47,0,47,2020-04-19 01:22:33.698233+00:00
"Garfield County, Colorado",39.6584775,-107.763621,65,2,None,2020-04-19 01:40:27.495960+00:00
Dessau-Roßlau,51.8428278,12.2303935,57,1,None,2020-04-18 00:00:00+00:00
Jardinópolis,-21.0277616,-47.7772049,3,0,None,2020-04-19 01:22:22.939488+00:00
